Site,Long,Lat,Elevation,year_start,year_end,years_data,PFT
US-MOz,-92.2,38.7441,219.4,2004,2019,16,DBF
US-Mpj,-106.2377,34.4385,2196,2008,2020,13,SAV
US-Myb,-121.765,38.0499,-4,2010,2021,12,WET
US-NC1,-76.7119,35.8118,5,2005,2012,8,NF
US-NC3,-76.656,35.799,5,2013,2021,9,NF
US-NC4,-75.9038,35.7879,1,2009,2021,13,WET
US-Ne1,-96.4766,41.1651,361,2001,2020,20,CRO
US-Ne2,-96.4701,41.1649,362,2001,2013,13,CRO
US-Ne3,-96.4397,41.1797,363,2001,2013,13,CRO
US-NGB,-156.6092,71.28,5.273,2012,2019,8,NO
US-NGC,-163.7002,64.8618,35,2017,2019,3,GRA
US-NR1,-105.5464,40.0329,3050,1998,2016,19,NF
US-Oho,-83.8438,41.5545,230,2004,2013,9,DBF
US-ONA,-81.9509,27.3836,25,2015,2020,6,GRA
US-ORv,-83.0183,40.0201,221,2011,2016,6,WET
US-OWC,-82.5125,41.3795,174,2015,2016,2,WET
US-PFa,-90.2723,45.9459,470,1995,2014,20,MF
US-Prr,-147.4876,65.1237,210,2010,2013,4,NF
US-RGA,-91.6733,34.4159,61,2021,2021,1,CRO
US-RGB,-121.8579,39.5782,33,2021,2021,1,CRO
US-RGo,-122.0026,39.6805,40,2021,2021,1,CRO
US-Rms,-116.7486,43.0645,2111,2014,2020,7,SH
US-Ro1,-93.0898,44.7143,290,2004,2016,13,CRO
US-Ro2,-93.0888,44.7288,292,2008,2016,9,CRO
US-Ro4,-93.0723,44.6781,274,2014,2021,8,GRA
US-Ro5,-93.0576,44.691,283,2017,2020,4,CRO
US-Ro6,-93.0578,44.6946,282,2017,2021,5,CRO
US-Rwe,-116.7591,43.0653,2098,2003,2007,5,SH
US-Rwf,-116.7231,43.1207,1878,2014,2020,7,SH
US-Rws,-116.7132,43.1675,1425,2014,2020,7,SH
US-Seg,-106.702,34.3623,1596,2007,2021,15,GRA
US-Ses,-106.7442,34.3349,1604,2007,2021,15,SH
US-Sne,-121.7547,38.0369,-5,2016,2020,5,GRA
US-Snf,-121.7272,38.0402,-4,2018,2020,3,GRA
US-SRC,-110.8395,31.9083,950,2008,2014,7,SH
US-SRG,-110.8277,31.7894,1291,2008,2021,14,GRA
US-SRM,-110.8661,31.8214,1120,2004,2014,11,SAV
US-SRS,-110.8508,31.8173,1169,2011,2018,8,SAV
US-Sta,-106.8024,41.3966,2069,2005,2009,5,SH
US-Syv,-89.3477,46.242,540,2001,2021,21,MF
US-Ton,-120.966,38.4309,177,2001,2021,21,SAV
US-Tw1,-121.6469,38.1074,-5,2011,2020,10,WET
US-Tw2,-121.6365,38.0969,-5,2012,2013,2,CRO
US-Tw3,-121.6469,38.1152,-4,2013,2018,6,CRO
US-Tw4,-121.6413,38.1027,-5,2013,2021,9,WET
US-Tw5,-121.6426,38.1072,-5,2018,2019,2,WET
US-Twt,-121.653,38.1087,18,2009,2014,6,CRO
US-UM3,-84.6707,45.5686,234,2013,2014,2,NO
US-UMB,-84.7138,45.5598,234,2007,2021,15,DBF
US-UMd,-84.6975,45.5625,239,2007,2021,15,DBF
US-Var,-120.9508,38.4133,129,2000,2021,22,GRA
US-WCr,-90.0799,45.8059,520,1999,2014,16,DBF
US-Whs,-110.0522,31.7438,1370,2007,2020,14,SH
US-Wi0,-91.0814,46.6188,349,2002,2002,1,NF
US-Wi1,-91.2329,46.7305,352,2003,2003,1,DBF
US-Wi2,-91.1528,46.6869,395,2003,2003,1,NF
US-Wi3,-91.0987,46.6347,411,2002,2004,3,DBF
US-Wi4,-91.1663,46.7393,352,2002,2005,4,NF
US-Wi5,-91.0858,46.6531,353,2004,2004,1,NF
US-Wi6,-91.2982,46.6249,371,2002,2003,2,SH
US-Wi7,-91.0693,46.6491,335,2005,2005,1,SH
US-Wi8,-91.2524,46.7223,348,2002,2002,1,DBF
US-Wi9,-91.0814,46.6188,350,2004,2005,2,NF
US-Wjs,-105.8615,34.4255,1931,2007,2021,15,SAV
US-Wkg,-109.9419,31.7365,1531,2004,2021,18,GRA
US-WPT,-82.9962,41.4646,175,2011,2013,3,WET
US-xAE,-99.0588,35.4106,516,2017,2021,5,GRA
US-xBR,-71.2873,44.0639,232,2017,2021,5,DBF
US-xCL,-97.57,33.4012,259,2017,2021,5,GRA
US-xCP,-104.7456,40.8155,1654,2016,2021,6,GRA
US-xDC,-99.1066,47.1617,559,2017,2021,5,GRA
US-xDL,-87.8039,32.5417,22,2017,2021,5,MF
US-xDS,-81.4362,28.125,15,2017,2021,5,CRO
US-xGR,-83.5019,35.689,579,2017,2021,5,DBF
US-xHA,-72.1727,42.5369,351,2017,2021,5,DBF
US-xHE,-149.2133,63.8757,705,2017,2021,5,SH
US-xJE,-84.4686,31.1948,44,2017,2021,5,NF
US-xKA,-96.6129,39.1104,1329,2017,2021,5,GRA
US-xKZ,-96.5631,39.1008,381,2017,2021,5,GRA
US-xMB,-109.3883,38.2483,1767,2017,2021,5,SH
US-xML,-80.5248,37.3783,1126,2017,2021,5,DBF
US-xNG,-100.9154,46.7697,578,2017,2021,5,GRA
US-xNQ,-112.4524,40.1776,1685,2017,2021,5,SH
US-xRM,-105.5459,40.2759,2743,2017,2021,5,NF
US-xSB,-81.9934,29.6893,45,2017,2021,5,NF
US-xSE,-76.56,38.8901,15,2017,2021,5,DBF
US-xSR,-110.8355,31.9107,983,2017,2021,5,SH
US-xST,-89.5864,45.5089,481,2017,2021,5,DBF
US-xTA,-87.3933,32.9505,135,2017,2021,5,NF
US-xTR,-89.5857,45.4937,472,2017,2021,5,DBF
US-xUK,-95.1921,39.0404,335,2017,2021,5,DBF
US-xUN,-89.5373,46.2339,518,2017,2021,5,MF
US-xYE,-110.5391,44.9535,2116,2018,2021,4,NF
ZA-Kru,31.4969,-25.0197,359,2000,2010,11,SAV
ZM-Mon,23.2528,-15.4378,1053,2000,2009,10,DBF
